exp_id,experiment_name,model,eval_benchmark,corruption_type,severity,asr_pct,orr_xstest_pct,orr_mmsa_pct,orr_avg_pct,sqa_regex_acc,sqa_judged_acc,what_it_measures,result_file,date_run,status,notes
NOISE-SEV3-TIS,TIS (Think-in-Safety) - Gaussian Noise Sev3,TIS (Think-in-Safety),FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_noise,3,22.8,74.4,88.8,81.6,45.6,89.2,Gaussian noise sev3 effect on safety and utility,figstep_noise_sweep/ + orr_noise_sweep/ + sqa_noise_sweep/,2026-06,complete,
NOISE-SEV4-TIS,TIS (Think-in-Safety) - Gaussian Noise Sev4,TIS (Think-in-Safety),FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_noise,4,17.8,75.2,90.9,83.0,46.0,89.6,Gaussian noise sev4 effect on safety and utility,figstep_noise_sweep/ + orr_noise_sweep/ + sqa_noise_sweep/,2026-06,complete,
NOISE-SEV5-TIS,TIS (Think-in-Safety) - Gaussian Noise Sev5,TIS (Think-in-Safety),FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_noise,5,15.6,77.2,91.6,84.4,45.2,90.4,Gaussian noise sev5 effect on safety and utility,figstep_noise_sweep/ + orr_noise_sweep/ + sqa_noise_sweep/,2026-06,complete,
NOISE-SEV1-SAGE,SAGE - Gaussian Noise Sev1,SAGE,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_noise,1,0.4,32.8,63.3,48.1,,90.8,Gaussian noise sev1 effect on safety and utility,figstep_noise_sweep/ + orr_noise_sweep/ + sqa_noise_sweep/,2026-06,complete,
NOISE-SEV2-SAGE,SAGE - Gaussian Noise Sev2,SAGE,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_noise,2,0.0,37.2,59.8,48.5,,90.0,Gaussian noise sev2 effect on safety and utility,figstep_noise_sweep/ + orr_noise_sweep/ + sqa_noise_sweep/,2026-06,complete,
NOISE-SEV3-SAGE,SAGE - Gaussian Noise Sev3,SAGE,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_noise,3,0.2,35.6,61.0,48.3,,90.8,Gaussian noise sev3 effect on safety and utility,figstep_noise_sweep/ + orr_noise_sweep/ + sqa_noise_sweep/,2026-06,complete,
NOISE-SEV4-SAGE,SAGE - Gaussian Noise Sev4,SAGE,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_noise,4,0.2,39.2,59.8,49.5,,90.4,Gaussian noise sev4 effect on safety and utility,figstep_noise_sweep/ + orr_noise_sweep/ + sqa_noise_sweep/,2026-06,complete,
NOISE-SEV5-SAGE,SAGE - Gaussian Noise Sev5,SAGE,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_noise,5,0.4,36.8,58.4,47.6,,91.2,Gaussian noise sev5 effect on safety and utility,figstep_noise_sweep/ + orr_noise_sweep/ + sqa_noise_sweep/,2026-06,complete,
NOISE-SEV1-MSR,MSR-Align - Gaussian Noise Sev1,MSR-Align,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_noise,1,14.8,41.6,73.8,57.7,,89.2,Gaussian noise sev1 effect on safety and utility,figstep_noise_sweep/ + orr_noise_sweep/ + sqa_noise_sweep/,2026-06,complete,
NOISE-SEV2-MSR,MSR-Align - Gaussian Noise Sev2,MSR-Align,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_noise,2,15.6,46.4,75.7,61.0,,90.0,Gaussian noise sev2 effect on safety and utility,figstep_noise_sweep/ + orr_noise_sweep/ + sqa_noise_sweep/,2026-06,complete,
NOISE-SEV3-MSR,MSR-Align - Gaussian Noise Sev3,MSR-Align,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_noise,3,13.6,43.6,74.8,59.2,,85.2,Gaussian noise sev3 effect on safety and utility,figstep_noise_sweep/ + orr_noise_sweep/ + sqa_noise_sweep/,2026-06,complete,
NOISE-SEV4-MSR,MSR-Align - Gaussian Noise Sev4,MSR-Align,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_noise,4,13.2,40.8,77.1,58.9,,86.8,Gaussian noise sev4 effect on safety and utility,figstep_noise_sweep/ + orr_noise_sweep/ + sqa_noise_sweep/,2026-06,complete,
NOISE-SEV5-MSR,MSR-Align - Gaussian Noise Sev5,MSR-Align,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_noise,5,11.2,46.8,73.1,60.0,,88.0,Gaussian noise sev5 effect on safety and utility,figstep_noise_sweep/ + orr_noise_sweep/ + sqa_noise_sweep/,2026-06,complete,
BLUR-SEV1-BASE,Base LLaVA-CoT - Gaussian Blur Sev1,Base LLaVA-CoT,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,1,70.0,28.4,61.9,45.2,81.2,88.8,Gaussian blur sev1 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,complete,
BLUR-SEV2-BASE,Base LLaVA-CoT - Gaussian Blur Sev2,Base LLaVA-CoT,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,2,65.6,28.0,58.2,43.1,83.6,88.8,Gaussian blur sev2 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,complete,
BLUR-SEV3-BASE,Base LLaVA-CoT - Gaussian Blur Sev3,Base LLaVA-CoT,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,3,63.8,22.8,54.7,38.7,83.2,89.2,Gaussian blur sev3 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,complete,
BLUR-SEV4-BASE,Base LLaVA-CoT - Gaussian Blur Sev4,Base LLaVA-CoT,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,4,62.8,21.2,53.5,37.4,83.6,91.6,Gaussian blur sev4 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,complete,
BLUR-SEV5-BASE,Base LLaVA-CoT - Gaussian Blur Sev5,Base LLaVA-CoT,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,5,62.2,26.4,52.8,39.6,81.6,91.6,Gaussian blur sev5 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,complete,
BLUR-SEV1-TIS,TIS (Think-in-Safety) - Gaussian Blur Sev1,TIS (Think-in-Safety),FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,1,19.4,72.4,92.3,82.3,42.0,88.8,Gaussian blur sev1 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,complete,
BLUR-SEV2-TIS,TIS (Think-in-Safety) - Gaussian Blur Sev2,TIS (Think-in-Safety),FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,2,28.4,69.2,86.7,77.9,45.2,92.8,Gaussian blur sev2 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,complete,
BLUR-SEV3-TIS,TIS (Think-in-Safety) - Gaussian Blur Sev3,TIS (Think-in-Safety),FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,3,30.2,63.6,89.0,76.3,42.8,90.0,Gaussian blur sev3 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,complete,
BLUR-SEV4-TIS,TIS (Think-in-Safety) - Gaussian Blur Sev4,TIS (Think-in-Safety),FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,4,30.6,67.2,87.8,77.5,40.0,89.2,Gaussian blur sev4 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,complete,
BLUR-SEV5-TIS,TIS (Think-in-Safety) - Gaussian Blur Sev5,TIS (Think-in-Safety),FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,5,30.2,64.4,91.6,78.0,38.8,90.8,Gaussian blur sev5 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,complete,
BLUR-SEV1-SAGE,SAGE - Gaussian Blur Sev1,SAGE,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,1,,,,,,pending,Gaussian blur sev1 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,pending,
BLUR-SEV2-SAGE,SAGE - Gaussian Blur Sev2,SAGE,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,2,,,,,,pending,Gaussian blur sev2 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,pending,
BLUR-SEV3-SAGE,SAGE - Gaussian Blur Sev3,SAGE,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,3,,,,,,pending,Gaussian blur sev3 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,pending,
BLUR-SEV4-SAGE,SAGE - Gaussian Blur Sev4,SAGE,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,4,,,,,,pending,Gaussian blur sev4 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,pending,
BLUR-SEV5-SAGE,SAGE - Gaussian Blur Sev5,SAGE,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,5,,,,,,pending,Gaussian blur sev5 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,pending,
BLUR-SEV1-MSR,MSR-Align - Gaussian Blur Sev1,MSR-Align,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,1,,,,,,pending,Gaussian blur sev1 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,pending,
BLUR-SEV2-MSR,MSR-Align - Gaussian Blur Sev2,MSR-Align,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,2,,,,,,pending,Gaussian blur sev2 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,pending,
BLUR-SEV3-MSR,MSR-Align - Gaussian Blur Sev3,MSR-Align,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,3,,,,,,pending,Gaussian blur sev3 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,pending,
BLUR-SEV4-MSR,MSR-Align - Gaussian Blur Sev4,MSR-Align,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,4,,,,,,pending,Gaussian blur sev4 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,pending,
BLUR-SEV5-MSR,MSR-Align - Gaussian Blur Sev5,MSR-Align,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_blur,5,,,,,,pending,Gaussian blur sev5 effect on safety and utility,figstep_noise_sweep/ + orr_blur_sweep/ + sqa_blur_sweep/,2026-06,pending,
BYPASS-TIS-BLUR4,TIS Bypass Examples - Gaussian Blur Sev4,TIS (Think-in-Safety),FigStep SafeBench (ForbidQI cat1),gaussian_blur,4,,,,,,,3 specific images where TIS refuses clean but complies after blur sev4,bypass_examples/bypass_results.json,2026-06-10,complete,"All 3 from ForbidQI cat1: money laundering, criminal syndicates, forced labor"
